image_id,x_1,y_1,width,height
005920.jpg,202,71,299,414
005923.jpg,393,134,338,468
006074.jpg,60,102,172,238
006083.jpg,120,73,143,198
006098.jpg,99,83,107,148
006114.jpg,46,98,148,205
006122.jpg,107,41,218,302
006126.jpg,38,58,192,266
006127.jpg,91,105,192,266
006130.jpg,49,104,221,306
006150.jpg,184,60,83,115
006155.jpg,94,84,73,101
006166.jpg,69,63,208,288
006238.jpg,294,46,107,148
006272.jpg,78,61,166,230
006294.jpg,46,91,221,306
006296.jpg,2,30,208,288
006316.jpg,185,5,130,180
006324.jpg,40,86,208,288
006334.jpg,167,1,185,256
006349.jpg,188,105,91,126
006364.jpg,123,98,151,209
006402.jpg,112,86,174,241
006415.jpg,9,95,239,331
006436.jpg,149,104,107,148
006445.jpg,121,89,179,248
006458.jpg,266,64,187,259
006489.jpg,275,54,148,205
006499.jpg,56,15,161,223
006515.jpg,491,276,359,497
006520.jpg,27,54,169,227
006522.jpg,69,34,122,169
006547.jpg,164,1,112,155
006554.jpg,141,122,101,140
006566.jpg,189,109,172,238
006583.jpg,109,47,125,173
006591.jpg,359,130,307,425
006609.jpg,83,84,83,115
006620.jpg,141,46,177,245
006677.jpg,51,52,130,180
006742.jpg,79,55,182,252
006772.jpg,203,61,218,302
006807.jpg,148,18,104,144
006823.jpg,81,36,151,209
006901.jpg,130,67,127,176
006931.jpg,350,143,320,443
006965.jpg,67,22,83,115
006967.jpg,153,54,88,122
006985.jpg,166,74,159,220
007007.jpg,85,11,104,144
007016.jpg,151,37,94,130
007053.jpg,170,137,161,223
007061.jpg,74,110,242,335
007085.jpg,65,4,146,198
007104.jpg,94,83,122,169
007114.jpg,95,66,198,274
007128.jpg,68,106,229,317
007131.jpg,125,49,143,198
007154.jpg,73,45,94,130
007191.jpg,107,96,310,490
007202.jpg,187,250,348,482
007238.jpg,100,6,109,151
007241.jpg,675,757,1459,2020
007243.jpg,87,87,265,367
007258.jpg,78,197,203,281
007280.jpg,136,16,86,119
007289.jpg,75,73,200,271
007323.jpg,107,45,166,230
007330.jpg,8,61,151,209
007335.jpg,70,82,104,144
007341.jpg,395,92,234,324
007344.jpg,382,52,426,590
007345.jpg,55,76,242,335
007348.jpg,62,24,255,353
007358.jpg,317,901,328,454
007386.jpg,307,93,138,191
007392.jpg,87,102,257,356
007399.jpg,71,23,177,245
007414.jpg,167,95,192,266
007421.jpg,91,45,130,180
007429.jpg,150,75,236,374
007447.jpg,144,178,325,450
007449.jpg,115,105,177,245
007476.jpg,141,56,107,148
007513.jpg,49,15,75,104
007528.jpg,92,56,140,194
007539.jpg,46,178,187,259
007556.jpg,106,60,177,245
007569.jpg,38,44,104,144
007572.jpg,80,67,182,252
007575.jpg,315,135,146,202
007649.jpg,102,114,263,364
007659.jpg,96,28,211,292
007662.jpg,122,45,47,65
007680.jpg,320,137,151,209
007687.jpg,32,127,198,274
007704.jpg,251,69,416,576
007708.jpg,49,47,96,133
007709.jpg,114,66,99,137
007744.jpg,763,140,390,540
007755.jpg,110,170,413,572
007760.jpg,165,26,94,130
007765.jpg,76,98,169,234
007768.jpg,79,55,94,130
007775.jpg,225,78,179,248
007812.jpg,22,101,208,288
007830.jpg,106,75,130,180
007863.jpg,26,48,229,317
007879.jpg,97,50,88,122
007889.jpg,23,47,88,122
007905.jpg,163,63,86,119
007917.jpg,147,46,211,292
007925.jpg,76,135,442,612
007927.jpg,130,133,122,169
007929.jpg,23,49,104,144
007933.jpg,149,45,135,187
007948.jpg,188,35,101,140
007963.jpg,412,219,390,540
007971.jpg,274,137,138,191
007977.jpg,28,46,146,202
007981.jpg,55,91,213,277
007985.jpg,84,139,198,274
008051.jpg,74,64,174,241
008058.jpg,211,139,216,288
008065.jpg,107,33,101,140
008102.jpg,287,120,213,295
008124.jpg,145,54,265,367
008137.jpg,104,86,104,144
008142.jpg,39,69,172,238
008143.jpg,108,27,104,144
008153.jpg,81,33,101,140
008176.jpg,120,85,166,230
008202.jpg,38,68,166,230
008207.jpg,158,74,114,158
008214.jpg,41,88,195,265
008255.jpg,77,49,135,187
008258.jpg,160,120,198,274
008271.jpg,58,69,247,342
008349.jpg,289,55,281,389
008355.jpg,93,20,153,212
008367.jpg,51,69,192,266
008373.jpg,135,165,343,475
008383.jpg,149,48,101,140
008403.jpg,419,125,286,396
008458.jpg,132,106,127,167
008550.jpg,74,95,242,335
008557.jpg,177,76,159,220
008566.jpg,130,90,198,274
008590.jpg,35,48,192,266
008611.jpg,44,67,130,180
008649.jpg,162,52,166,230
008662.jpg,104,133,242,335
008697.jpg,173,50,83,115
008699.jpg,123,74,114,158
008706.jpg,47,38,73,101
008709.jpg,53,90,268,371
008726.jpg,50,79,229,317
008762.jpg,137,42,60,83
008824.jpg,102,122,107,148
008929.jpg,64,38,177,245
009029.jpg,149,110,208,262
009067.jpg,297,84,161,223
009073.jpg,562,72,192,266
009093.jpg,82,90,229,317
009124.jpg,66,81,208,288
009162.jpg,148,36,117,162
009258.jpg,15,21,75,104
009275.jpg,101,71,148,205
009322.jpg,168,45,122,169
009332.jpg,103,136,164,227
009342.jpg,227,167,221,306
009355.jpg,150,18,135,187
009383.jpg,105,61,224,310
009412.jpg,80,45,101,140
009449.jpg,52,77,174,241
009467.jpg,85,58,169,234
009488.jpg,113,39,130,180
009492.jpg,302,81,211,292
009506.jpg,109,49,135,187
009511.jpg,70,65,78,108
009523.jpg,87,60,153,212
009530.jpg,168,117,289,400
009558.jpg,138,43,73,101
009695.jpg,178,94,283,342
009696.jpg,73,52,166,230
009701.jpg,140,24,143,198
009772.jpg,587,75,224,310
009803.jpg,169,83,226,313
009826.jpg,674,293,712,986
009833.jpg,93,89,122,169
009867.jpg,230,27,161,223
009879.jpg,639,70,156,216
009880.jpg,465,89,252,349
009895.jpg,175,53,216,299
009902.jpg,187,23,49,68
009978.jpg,204,89,177,245
009979.jpg,181,78,140,194
010012.jpg,147,212,99,137
010027.jpg,222,55,120,166
010079.jpg,120,67,133,184
010098.jpg,115,61,213,295
010195.jpg,114,78,122,169
010201.jpg,71,41,161,223
010203.jpg,1,1,229,267
010218.jpg,30,37,122,169
010237.jpg,25,33,91,126
010256.jpg,213,258,510,706
010275.jpg,51,33,101,140
010287.jpg,126,79,133,184
010308.jpg,53,51,148,205
010324.jpg,40,51,198,274
010358.jpg,13,84,156,216
010377.jpg,137,36,151,209
010378.jpg,533,544,1050,1454
010381.jpg,150,57,221,306
010390.jpg,83,103,177,245
010401.jpg,73,63,138,191
010418.jpg,15,51,302,418
010454.jpg,58,24,153,212
010488.jpg,39,32,112,155
010497.jpg,47,42,81,112
010532.jpg,207,71,187,259
010537.jpg,84,62,190,263
010566.jpg,73,84,159,220
010577.jpg,766,75,416,576
010578.jpg,39,71,195,244
010596.jpg,95,41,172,238
010648.jpg,58,74,226,313
010664.jpg,199,78,187,259
010671.jpg,51,41,143,198
010685.jpg,85,20,148,205
010692.jpg,88,71,166,230
010700.jpg,190,30,125,173
010753.jpg,22,27,213,295
010859.jpg,31,87,174,241
010861.jpg,36,76,138,191
010922.jpg,23,124,502,695
010924.jpg,17,31,224,252
010952.jpg,189,97,140,194
010958.jpg,33,135,229,317
010988.jpg,73,89,148,205
011028.jpg,59,44,96,133
011052.jpg,197,113,120,166
011110.jpg,19,56,78,108
011120.jpg,180,69,195,270
011173.jpg,328,47,133,184
011186.jpg,103,102,96,133
011187.jpg,364,85,169,234
011188.jpg,292,284,619,857
011228.jpg,83,112,182,252
011239.jpg,135,42,143,198
011258.jpg,157,88,117,162
011293.jpg,425,90,257,356
011306.jpg,79,56,200,277
011313.jpg,270,56,68,94
011406.jpg,45,28,81,112
011427.jpg,151,39,78,108
011430.jpg,116,30,148,205
011462.jpg,55,99,224,310
011485.jpg,138,128,356,493
011495.jpg,135,13,169,234
011525.jpg,7,58,156,184
011613.jpg,366,378,728,1008
011628.jpg,97,142,172,238
011634.jpg,193,24,114,158
011654.jpg,286,60,101,140
011662.jpg,35,48,174,241
011665.jpg,293,88,133,184
011677.jpg,111,43,99,137
011708.jpg,97,48,195,270
011721.jpg,469,171,312,432
011728.jpg,79,78,70,97
011737.jpg,78,47,138,191
011765.jpg,122,94,122,169
011786.jpg,69,122,200,277
011788.jpg,199,72,161,223
011791.jpg,61,64,252,349
011795.jpg,34,84,244,338
011830.jpg,3,39,91,126
011863.jpg,82,105,166,230
011890.jpg,218,202,372,515
011894.jpg,99,53,146,202
011901.jpg,95,130,73,101
011904.jpg,89,57,88,122
011942.jpg,669,34,161,223
011977.jpg,45,36,172,252
011994.jpg,122,230,73,101
012009.jpg,31,55,83,115
012017.jpg,73,34,99,137
012029.jpg,80,92,146,202
012061.jpg,128,39,88,122
012093.jpg,61,136,174,241
012096.jpg,102,57,140,194
012104.jpg,91,84,255,353
012110.jpg,130,85,161,223
012145.jpg,115,84,195,270
012159.jpg,560,107,260,360
012161.jpg,240,14,88,122
012164.jpg,69,71,153,212
012166.jpg,116,22,60,83
012170.jpg,163,20,86,119
012185.jpg,13,39,104,144
012206.jpg,353,150,169,234
012273.jpg,64,87,257,356
012279.jpg,284,160,515,713
012307.jpg,93,40,255,353
012309.jpg,111,45,75,104
012326.jpg,159,93,172,238
012363.jpg,159,64,205,265
012378.jpg,2,60,276,339
012416.jpg,218,36,135,187
012471.jpg,134,32,216,286
012473.jpg,196,84,107,148
012486.jpg,42,34,289,400
012502.jpg,53,115,239,331
012528.jpg,77,68,231,320
012538.jpg,76,37,161,223
012549.jpg,154,58,148,205
012562.jpg,138,91,211,292
012570.jpg,28,19,52,72
012580.jpg,114,29,70,97
012623.jpg,109,93,237,328
012624.jpg,66,36,125,173
012629.jpg,624,311,645,893
012631.jpg,271,79,143,198
012638.jpg,62,107,281,389
012666.jpg,65,48,164,227
012688.jpg,36,63,218,276
012708.jpg,89,124,70,97
012711.jpg,129,108,143,198
012720.jpg,73,56,135,187
012732.jpg,90,78,73,101
012762.jpg,19,63,109,151
012789.jpg,294,135,312,432
012837.jpg,105,60,138,191
012861.jpg,55,60,268,371
012866.jpg,105,139,211,292
012868.jpg,110,78,179,248
012887.jpg,89,117,200,277
012889.jpg,55,128,153,212
012905.jpg,25,30,239,331
012916.jpg,116,109,200,277
012939.jpg,29,39,117,159
012940.jpg,44,23,101,140
012950.jpg,49,105,172,238
012967.jpg,136,57,96,133
012986.jpg,85,45,198,274
012988.jpg,15,25,91,117
013000.jpg,39,59,127,176
013051.jpg,491,11,250,346
013065.jpg,139,65,96,133
013097.jpg,81,58,65,90
013113.jpg,117,32,133,184
013143.jpg,54,38,161,223
013153.jpg,52,18,187,247
013194.jpg,189,85,263,364
013208.jpg,165,72,164,227
013210.jpg,201,156,335,464
013232.jpg,144,80,247,342
013256.jpg,261,25,289,400
013271.jpg,42,30,135,187
013272.jpg,209,304,751,1040
013311.jpg,746,307,359,497
013356.jpg,317,112,229,317
013392.jpg,119,50,65,90
013407.jpg,243,51,130,180
013429.jpg,126,34,179,248
013436.jpg,95,65,192,266
013476.jpg,208,77,127,176
013485.jpg,724,102,299,414
013515.jpg,463,106,185,256
013592.jpg,149,85,187,259
013595.jpg,64,18,211,292
013614.jpg,223,208,450,623
013615.jpg,35,60,99,137
013659.jpg,202,240,263,364
013662.jpg,35,30,185,236
013676.jpg,267,194,798,1105
013678.jpg,394,18,203,281
013682.jpg,51,72,138,191
013685.jpg,86,30,221,306
013703.jpg,75,104,153,212
013710.jpg,1,1,247,342
013735.jpg,210,73,120,166
013802.jpg,53,66,172,238
013804.jpg,53,38,49,68
013813.jpg,6,93,309,428
013851.jpg,102,41,146,202
013894.jpg,169,64,179,248
013897.jpg,13,25,155,193
013905.jpg,167,67,169,234
013929.jpg,193,74,133,184
013950.jpg,68,20,148,205
013951.jpg,54,114,195,270
014022.jpg,63,38,47,65
014030.jpg,91,43,130,180
014056.jpg,167,65,151,209
014060.jpg,104,61,148,205
014129.jpg,216,87,182,252
014140.jpg,94,87,185,256
014144.jpg,179,57,208,288
014155.jpg,80,84,216,299
014201.jpg,295,18,114,158
014218.jpg,110,98,330,457
014233.jpg,82,68,133,184
014251.jpg,96,77,166,230
014274.jpg,97,104,229,317
014322.jpg,33,54,231,320
014328.jpg,166,30,114,158
014335.jpg,853,84,385,533
014342.jpg,1,68,133,167
014348.jpg,426,170,273,378
014370.jpg,249,65,125,173
014441.jpg,155,271,138,191
014459.jpg,35,17,75,104
014522.jpg,95,81,250,346
014543.jpg,123,96,179,248
014554.jpg,146,86,138,191
014575.jpg,103,21,55,76
014579.jpg,17,16,65,90
014665.jpg,125,84,322,446
014690.jpg,57,85,125,173
014710.jpg,95,145,390,540
014749.jpg,71,112,192,266
014772.jpg,107,87,273,370
014778.jpg,95,51,179,248
014785.jpg,178,62,177,245
014792.jpg,71,52,94,130
014795.jpg,88,59,104,144
014825.jpg,107,103,143,198
014829.jpg,197,111,125,173
014859.jpg,69,124,192,266
014865.jpg,53,67,237,328
014870.jpg,138,19,91,126
014889.jpg,70,34,130,180
014906.jpg,103,82,192,266
014924.jpg,103,38,101,140
014925.jpg,183,223,309,428
014932.jpg,113,82,156,216
014958.jpg,5,70,120,166
014988.jpg,302,160,393,544
014995.jpg,213,59,218,302
015010.jpg,889,66,192,266
015013.jpg,429,158,117,162
015015.jpg,154,45,78,108
015016.jpg,95,94,133,184
015037.jpg,111,25,57,79
015041.jpg,79,76,172,238
015089.jpg,135,68,161,223
015095.jpg,228,29,101,140
015125.jpg,68,87,185,256
015139.jpg,1,22,114,155
015156.jpg,149,77,94,130
015231.jpg,42,53,94,130
015234.jpg,101,61,96,133
015242.jpg,61,35,65,90
015263.jpg,120,169,231,320
015332.jpg,203,105,320,443
015351.jpg,287,15,88,122
015365.jpg,80,71,224,310
015392.jpg,42,63,226,313
015395.jpg,249,178,330,457
015409.jpg,55,91,234,324
015413.jpg,214,44,83,115
015422.jpg,55,101,289,396
015453.jpg,3,61,174,241
015473.jpg,150,1,140,194
015541.jpg,98,36,164,227
015576.jpg,56,58,96,133
015580.jpg,385,192,452,626
015600.jpg,88,18,75,104
015603.jpg,125,72,187,259
015634.jpg,123,56,62,86
015651.jpg,46,124,244,338
015673.jpg,164,42,169,234
015678.jpg,6,54,99,137
015687.jpg,137,110,307,425
015692.jpg,123,88,192,266
015694.jpg,8,32,148,205
015702.jpg,51,49,75,104
015713.jpg,257,62,135,187
015741.jpg,74,74,177,245
015753.jpg,49,77,174,241
015754.jpg,170,52,169,234
015790.jpg,272,236,273,378
015846.jpg,40,53,164,227
015848.jpg,32,46,130,180
015896.jpg,189,27,120,166
015951.jpg,123,35,231,320
015972.jpg,212,122,234,324
015975.jpg,104,89,117,162
015983.jpg,125,88,148,205
016023.jpg,152,115,120,166
016028.jpg,70,63,127,176
016034.jpg,322,62,138,191
016061.jpg,77,68,177,245
016109.jpg,94,63,130,180
016163.jpg,87,95,195,270
016181.jpg,261,136,205,284
016214.jpg,132,41,120,166
016268.jpg,69,56,356,493
016281.jpg,72,63,164,227
016328.jpg,42,85,125,173
016353.jpg,67,68,237,328
016381.jpg,94,5,263,374
016401.jpg,41,27,122,169
016411.jpg,88,88,143,198
016419.jpg,89,56,198,274
016433.jpg,65,56,133,180
016435.jpg,121,131,166,230
016436.jpg,207,65,120,166
016441.jpg,75,22,127,176
016478.jpg,161,85,117,162
016484.jpg,213,70,203,281
016488.jpg,101,73,148,205
016496.jpg,107,57,187,259
016502.jpg,117,40,140,194
016509.jpg,95,100,169,234
016520.jpg,575,332,541,749
016536.jpg,189,19,101,140
016549.jpg,105,109,146,202
016555.jpg,120,33,94,130
016597.jpg,39,115,889,1231
016618.jpg,73,88,213,295
016649.jpg,79,92,203,281
016657.jpg,158,27,164,227
016674.jpg,274,60,224,310
016680.jpg,79,34,130,180
016694.jpg,50,145,247,342
016734.jpg,126,61,148,205
016736.jpg,625,125,764,1058
016748.jpg,129,54,78,108
016818.jpg,116,96,148,205
016852.jpg,1,439,1996,2566
016865.jpg,121,61,169,234
016893.jpg,118,95,135,187
016900.jpg,50,29,120,166
016901.jpg,693,191,640,886
016903.jpg,139,65,99,137
016905.jpg,113,64,161,223
016910.jpg,154,28,133,184
016932.jpg,69,84,190,263
016938.jpg,20,82,247,342
016949.jpg,74,23,88,122
017000.jpg,157,109,341,472
017021.jpg,245,98,278,385
017022.jpg,159,68,135,187
017041.jpg,183,50,140,194
017104.jpg,312,42,551,763
017119.jpg,378,253,530,734
017124.jpg,115,97,153,212
017138.jpg,335,266,562,778
017153.jpg,548,433,777,1076
017163.jpg,360,62,257,356
017181.jpg,64,59,103,151
017229.jpg,115,77,140,194
017234.jpg,54,39,117,155
017236.jpg,237,41,109,151
017239.jpg,114,41,86,119
017245.jpg,160,2,156,216
017280.jpg,142,28,411,569
017303.jpg,93,33,268,371
017416.jpg,605,31,133,184
017448.jpg,113,112,172,238
017480.jpg,463,209,507,702
017482.jpg,156,100,133,184
017547.jpg,97,59,140,194
017600.jpg,1,61,166,206
017605.jpg,200,163,120,166
017613.jpg,109,67,195,270
017628.jpg,167,9,107,148
017632.jpg,138,128,200,277
017655.jpg,192,45,120,166
017662.jpg,29,20,65,90
017665.jpg,62,101,164,227
017668.jpg,87,52,169,234
017675.jpg,242,77,172,238
017683.jpg,59,79,140,194
017684.jpg,91,90,172,238
017704.jpg,125,45,146,202
017728.jpg,170,41,156,216
017781.jpg,30,42,133,184
017793.jpg,42,90,247,342
017833.jpg,318,76,221,306
017837.jpg,118,117,208,288
017838.jpg,106,29,159,220
017842.jpg,121,62,78,108
017848.jpg,216,146,182,252
017852.jpg,290,50,151,209
017867.jpg,34,8,42,58
017877.jpg,128,72,133,184
017905.jpg,156,99,91,126
017918.jpg,124,84,211,292
017984.jpg,163,94,146,202
018002.jpg,128,94,133,184
018014.jpg,97,103,205,284
018127.jpg,101,60,291,403
018152.jpg,285,18,140,194
018160.jpg,107,71,78,108
018163.jpg,35,39,120,184
018195.jpg,235,56,153,212
018208.jpg,305,275,291,403
018264.jpg,294,51,73,101
018282.jpg,267,76,229,317
018301.jpg,1,111,328,435
018309.jpg,130,174,153,212
018329.jpg,80,86,190,263
018345.jpg,86,62,114,158
018353.jpg,150,98,179,248
018354.jpg,1,6,96,133
018373.jpg,73,53,153,212
018471.jpg,71,55,114,158
018476.jpg,289,175,229,317
018507.jpg,78,63,231,320
018525.jpg,114,13,239,331
018559.jpg,161,78,104,144
018603.jpg,59,14,260,360
018608.jpg,14,66,317,431
018632.jpg,505,42,166,230
018672.jpg,68,36,91,126
018681.jpg,36,65,130,180
018689.jpg,326,14,96,133
018698.jpg,461,411,1066,1476
018757.jpg,52,65,161,223
018801.jpg,179,6,146,202
018806.jpg,152,153,361,500
018880.jpg,110,95,127,176
018910.jpg,335,151,166,230
018921.jpg,74,101,273,378
018927.jpg,163,20,55,76
018976.jpg,40,13,86,119
018983.jpg,135,77,177,245
018985.jpg,10,39,296,410
019006.jpg,65,135,242,335
019013.jpg,137,63,122,169
019016.jpg,95,23,117,176
019025.jpg,218,25,68,94
019027.jpg,337,75,140,194
019028.jpg,10,53,148,205
019104.jpg,144,23,73,101
019127.jpg,544,176,432,598
019139.jpg,19,38,138,175
019140.jpg,148,242,489,677
019141.jpg,76,97,159,220
019142.jpg,146,239,320,443
019145.jpg,248,216,528,731
019147.jpg,222,29,101,140
019149.jpg,81,49,88,122
019157.jpg,110,81,91,126
019161.jpg,112,182,224,310
019179.jpg,138,37,164,227
019244.jpg,44,61,101,140
019272.jpg,112,101,148,205
019296.jpg,140,62,112,155
019303.jpg,65,77,252,349
019326.jpg,101,69,133,184
019328.jpg,80,37,65,90
019341.jpg,34,51,174,241
019354.jpg,106,38,161,223
019382.jpg,136,29,341,472
019385.jpg,230,59,169,234
