image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
001025.jpg,67,111,110,113,91,139,63,149,115,151
001029.jpg,68,110,107,113,84,140,72,151,108,152
001046.jpg,72,113,107,108,74,122,72,155,101,153
001049.jpg,70,113,109,109,101,143,68,154,105,150
001080.jpg,69,112,108,111,85,133,73,152,104,152
001092.jpg,71,111,106,110,84,122,71,155,105,152
001117.jpg,70,111,107,111,87,136,75,153,103,153
001175.jpg,69,111,108,111,91,137,69,152,107,152
001192.jpg,72,111,106,110,80,134,77,154,99,154
001212.jpg,67,111,109,113,80,141,65,148,114,152
001285.jpg,69,111,108,112,88,125,74,152,103,151
001331.jpg,68,110,108,113,78,142,68,150,112,153
001332.jpg,71,110,106,110,98,136,74,155,102,153
001347.jpg,66,112,111,113,90,141,67,149,111,150
001356.jpg,69,111,107,111,88,136,73,153,104,152
001402.jpg,70,112,108,110,93,138,71,152,105,153
001440.jpg,69,110,107,112,95,134,71,153,107,152
001464.jpg,71,113,108,109,99,134,75,153,98,152
001474.jpg,69,111,107,112,85,139,75,153,103,152
001505.jpg,67,111,109,114,95,122,72,149,107,152
001557.jpg,71,111,106,110,99,133,74,154,103,152
001578.jpg,69,111,108,112,87,138,72,152,106,151
001605.jpg,71,111,106,111,89,140,70,153,107,154
001625.jpg,69,111,108,112,83,135,70,152,108,152
001647.jpg,69,111,108,112,91,135,75,152,103,152
001651.jpg,70,112,107,110,96,139,74,153,102,152
001653.jpg,69,112,108,111,86,131,74,153,102,151
001668.jpg,67,112,110,112,90,139,66,150,111,150
001730.jpg,69,112,108,111,96,139,67,152,110,151
001738.jpg,69,112,108,111,91,135,72,151,105,152
001758.jpg,69,111,108,112,90,141,70,153,108,151
001775.jpg,68,112,109,112,90,136,67,150,110,152
001812.jpg,74,111,105,108,103,136,72,157,103,154
001917.jpg,70,111,107,111,87,132,77,152,99,153
001944.jpg,68,111,108,112,84,138,72,151,105,151
001981.jpg,70,110,107,111,82,138,71,152,106,153
001998.jpg,70,111,107,111,88,134,73,152,104,153
002021.jpg,67,112,110,113,87,141,67,149,110,151
002048.jpg,69,111,108,112,88,137,74,151,103,152
002049.jpg,73,110,104,109,72,135,76,156,100,155
002081.jpg,69,112,108,111,91,135,68,151,108,152
002151.jpg,70,111,107,111,85,136,71,151,106,153
002157.jpg,73,113,106,107,109,137,69,158,103,152
002180.jpg,71,109,104,111,73,136,71,153,108,156
002184.jpg,70,112,107,110,96,135,74,153,101,153
002187.jpg,70,110,106,111,82,134,68,155,109,151
002188.jpg,70,111,107,111,76,142,70,152,107,154
002198.jpg,70,111,107,111,86,137,72,152,105,153
002221.jpg,68,111,108,112,77,138,71,151,107,152
002232.jpg,71,112,107,109,77,127,71,154,104,152
002258.jpg,69,112,109,111,88,138,71,151,105,152
002282.jpg,68,113,110,112,89,135,66,151,110,150
002284.jpg,68,113,110,111,96,139,68,153,107,149
002298.jpg,68,113,110,111,93,136,64,151,111,150
002333.jpg,71,113,108,109,76,124,71,153,102,153
002353.jpg,68,111,108,112,97,133,72,152,106,151
002356.jpg,71,110,106,111,86,135,70,153,107,154
002360.jpg,68,112,109,112,95,135,70,151,108,150
002375.jpg,69,112,108,111,86,135,68,152,109,151
002408.jpg,67,112,110,112,88,138,66,150,111,150
002418.jpg,70,111,107,111,91,136,68,153,109,152
002502.jpg,72,110,105,110,107,134,70,156,107,153
002548.jpg,68,111,108,112,90,136,73,152,105,151
002570.jpg,69,112,109,111,84,136,72,152,104,151
002594.jpg,69,111,108,111,89,137,71,152,106,152
002617.jpg,66,112,110,113,92,130,70,150,109,150
002650.jpg,69,112,109,111,85,133,70,152,106,151
002656.jpg,68,111,109,112,93,121,71,151,107,151
002693.jpg,68,111,109,113,87,136,69,151,109,151
002751.jpg,69,112,108,111,95,139,71,152,104,152
002755.jpg,67,113,111,112,88,138,67,150,109,150
002806.jpg,70,115,110,109,95,139,71,153,100,150
002857.jpg,70,111,107,111,92,138,74,153,103,153
002960.jpg,67,112,110,113,86,128,67,149,111,151
002964.jpg,69,113,109,111,99,141,64,152,112,151
002970.jpg,68,112,109,112,89,138,70,150,107,152
002987.jpg,68,112,109,111,90,129,68,151,108,152
003021.jpg,69,111,108,112,91,135,72,152,106,152
003046.jpg,69,112,108,111,83,136,73,150,103,153
003084.jpg,69,111,108,112,88,136,71,152,106,151
003097.jpg,68,111,109,112,78,137,66,150,112,152
003103.jpg,69,112,109,110,91,142,69,150,106,153
003115.jpg,74,108,102,110,107,130,76,156,102,157
003120.jpg,70,111,107,111,92,132,74,153,103,153
003145.jpg,68,113,110,111,95,134,70,151,105,149
003230.jpg,69,111,108,111,88,130,73,152,104,152
003237.jpg,70,110,107,112,83,137,73,152,105,153
003273.jpg,68,111,108,112,85,141,70,152,108,151
003298.jpg,67,112,110,112,88,133,69,149,107,152
003302.jpg,69,112,108,111,95,137,69,153,107,151
003324.jpg,69,111,108,112,95,134,74,152,104,152
003344.jpg,69,111,108,111,87,138,71,152,106,152
003359.jpg,69,112,109,111,88,137,66,151,110,152
003376.jpg,68,110,108,113,81,140,72,152,107,151
003411.jpg,69,112,109,111,93,140,67,152,109,151
003453.jpg,68,111,109,112,88,140,68,151,110,151
003473.jpg,70,111,107,111,92,138,69,152,108,153
003496.jpg,69,112,109,111,90,135,68,152,108,151
003498.jpg,69,111,108,112,91,135,72,151,106,153
003500.jpg,68,113,110,111,86,129,65,151,110,150
003516.jpg,69,111,108,112,90,135,69,151,108,152
003524.jpg,70,111,107,111,86,139,74,154,103,153
003526.jpg,69,112,109,111,90,134,70,152,106,152
003548.jpg,69,111,108,111,90,134,67,152,109,151
003557.jpg,67,112,110,113,89,141,72,151,106,150
003559.jpg,70,111,107,111,95,124,71,152,106,153
003582.jpg,69,112,108,111,83,130,71,153,105,151
003585.jpg,70,111,107,111,89,136,69,154,108,152
003656.jpg,68,111,109,113,97,126,69,149,109,152
003673.jpg,70,111,107,111,83,138,76,153,101,153
003676.jpg,70,111,107,111,86,138,71,152,105,153
003702.jpg,68,110,107,113,95,128,76,152,103,152
003780.jpg,68,111,109,112,87,139,71,152,106,150
003782.jpg,70,110,106,111,87,139,72,154,106,153
003792.jpg,70,108,105,113,103,130,78,154,104,153
003801.jpg,70,111,107,111,82,137,71,152,106,154
003810.jpg,70,111,107,111,88,133,73,153,104,152
003832.jpg,69,110,107,112,81,141,70,150,109,154
003877.jpg,69,112,108,111,86,134,69,151,108,153
003883.jpg,70,112,108,110,87,135,72,153,104,152
003888.jpg,69,111,108,112,77,138,69,150,108,153
003890.jpg,70,111,107,111,84,135,74,152,103,153
003894.jpg,70,110,107,111,84,138,72,152,105,154
003925.jpg,70,111,108,111,99,138,73,154,104,150
003962.jpg,67,111,109,113,83,141,67,150,111,152
003967.jpg,68,112,109,112,96,133,70,151,107,152
003982.jpg,75,111,104,107,102,133,76,159,97,154
004058.jpg,77,110,102,106,72,132,75,159,99,157
004065.jpg,69,112,108,111,87,135,70,152,106,151
004093.jpg,69,112,109,111,92,138,72,150,105,152
004110.jpg,69,114,110,110,91,139,66,153,107,149
004172.jpg,72,111,106,109,80,134,72,154,104,155
004202.jpg,68,112,109,112,89,131,71,151,106,151
004221.jpg,69,112,109,111,96,137,67,152,108,151
004227.jpg,70,111,107,111,86,136,71,152,106,153
004237.jpg,68,109,107,114,88,137,78,151,103,153
004238.jpg,70,111,107,111,80,133,69,153,108,152
004240.jpg,70,110,106,112,86,141,74,152,105,154
004247.jpg,69,112,108,111,86,137,69,150,107,153
004281.jpg,68,111,109,112,88,133,66,151,112,151
004284.jpg,69,112,108,111,83,135,71,151,105,153
004292.jpg,71,110,106,111,90,136,73,153,105,154
004317.jpg,67,112,110,112,86,130,70,151,106,149
004346.jpg,67,112,109,113,87,139,67,150,111,150
004349.jpg,69,111,108,112,83,135,73,152,105,152
004350.jpg,71,111,106,111,87,133,74,152,103,154
004356.jpg,68,111,109,112,91,139,70,151,108,151
004413.jpg,69,111,108,111,90,134,70,152,107,151
004470.jpg,69,111,108,111,87,135,71,153,105,151
004488.jpg,71,112,107,110,90,137,74,153,101,153
004506.jpg,71,112,108,109,95,134,72,153,102,153
004509.jpg,67,112,110,112,84,141,67,150,110,150
004510.jpg,71,111,106,110,89,128,76,153,101,154
004522.jpg,69,111,107,111,89,135,74,153,103,152
004524.jpg,70,110,106,111,91,133,72,153,106,153
004530.jpg,68,113,110,111,96,144,67,152,108,149
004540.jpg,68,111,109,112,82,140,68,150,110,151
004615.jpg,74,113,106,107,75,129,74,156,98,154
004617.jpg,73,111,105,108,99,126,74,157,101,153
004623.jpg,69,111,107,111,88,134,69,152,107,153
004677.jpg,68,111,109,113,90,134,65,151,113,151
004683.jpg,75,111,104,107,76,131,75,157,97,155
004684.jpg,69,111,108,112,84,139,72,151,106,152
004692.jpg,69,112,109,111,90,134,71,152,106,151
004724.jpg,69,111,108,112,89,129,73,151,105,152
004741.jpg,69,113,110,110,99,133,68,152,106,149
004752.jpg,70,111,108,111,97,143,74,153,102,152
004766.jpg,69,110,107,112,98,133,74,152,105,153
004783.jpg,68,112,109,112,95,135,66,151,110,151
004859.jpg,68,111,108,112,79,140,68,149,110,154
004865.jpg,70,111,107,111,88,135,73,153,104,153
004871.jpg,68,112,109,112,90,131,74,151,103,151
004883.jpg,79,108,99,106,108,135,76,161,100,160
004889.jpg,70,111,107,111,88,129,75,153,102,153
004913.jpg,70,112,108,111,99,136,68,153,108,152
004918.jpg,67,112,110,113,83,131,67,149,111,150
004943.jpg,68,113,110,111,92,131,70,150,106,151
004945.jpg,72,111,105,110,78,127,77,153,99,155
004950.jpg,70,112,108,110,97,137,68,153,107,151
004967.jpg,68,112,109,111,87,137,73,150,103,153
004991.jpg,71,111,106,110,85,136,73,153,103,154
005007.jpg,69,111,108,112,85,132,68,152,109,151
005055.jpg,71,112,107,110,83,130,73,154,103,152
005077.jpg,69,111,108,111,89,139,71,152,106,152
005083.jpg,70,111,107,111,89,137,73,154,104,152
005120.jpg,68,111,108,112,88,135,71,151,107,152
005121.jpg,69,112,109,111,88,130,66,151,110,152
005136.jpg,70,111,108,111,90,135,65,152,111,152
005151.jpg,72,113,107,108,101,138,71,153,102,154
005226.jpg,71,111,107,110,90,135,74,155,102,152
005239.jpg,73,111,105,108,80,124,76,159,98,151
005257.jpg,75,110,103,108,74,133,74,158,101,156
005260.jpg,66,111,110,114,86,134,72,151,107,148
005274.jpg,69,111,108,111,88,137,70,152,107,152
005277.jpg,68,111,108,112,84,134,73,151,105,151
005285.jpg,70,110,107,111,83,144,75,151,103,154
005324.jpg,70,112,108,110,81,128,71,152,105,153
005329.jpg,69,112,109,111,92,135,67,152,110,151
005360.jpg,71,109,105,111,81,133,76,155,102,154
005383.jpg,68,112,109,112,94,132,71,150,106,152
005407.jpg,66,112,110,113,88,118,65,150,113,149
005413.jpg,70,110,107,112,83,135,75,152,103,154
005434.jpg,69,110,107,113,85,138,72,152,107,152
005468.jpg,68,111,108,112,86,137,68,151,110,151
005489.jpg,71,110,106,111,85,136,76,154,101,154
005514.jpg,70,111,107,111,84,138,70,152,107,153
005547.jpg,72,111,106,109,82,131,74,154,102,154
005571.jpg,70,111,107,110,98,135,74,153,102,152
005582.jpg,70,111,107,110,84,130,75,153,101,153
005590.jpg,68,109,107,113,98,126,77,150,104,154
005632.jpg,69,112,109,111,91,139,65,152,111,151
005670.jpg,68,112,109,112,94,140,67,151,111,150
005709.jpg,66,113,111,112,94,131,66,150,110,149
005783.jpg,69,111,108,112,83,138,66,150,111,153
005787.jpg,70,110,106,111,80,140,75,151,103,155
005797.jpg,68,112,109,112,83,138,71,150,106,152
005817.jpg,69,112,108,111,95,137,67,153,108,150
005904.jpg,68,111,108,113,87,142,71,151,108,151
005920.jpg,74,111,104,108,99,135,76,158,98,155
005923.jpg,69,111,108,111,94,135,73,151,104,153
006074.jpg,72,110,105,110,72,133,69,154,108,155
006083.jpg,69,111,108,111,94,138,72,152,105,152
006098.jpg,69,113,109,111,93,132,68,151,107,151
006114.jpg,69,114,110,110,93,140,69,152,104,150
006122.jpg,69,111,107,111,80,137,67,151,111,154
006126.jpg,69,111,108,112,90,141,72,152,106,151
006127.jpg,67,112,110,112,87,141,69,150,107,150
006130.jpg,70,110,107,111,78,140,70,154,107,152
006150.jpg,69,113,110,110,98,132,71,151,103,151
006155.jpg,71,113,108,108,95,135,72,154,101,152
006166.jpg,69,111,108,111,91,135,70,153,107,151
006238.jpg,76,109,102,107,102,129,80,157,95,158
006272.jpg,68,111,109,112,90,131,70,151,108,151
006294.jpg,70,111,108,111,84,135,71,152,105,153
006296.jpg,72,110,105,110,82,133,75,154,102,155
006316.jpg,69,110,107,112,99,129,79,153,99,151
006324.jpg,70,111,107,111,87,140,74,152,102,153
006334.jpg,69,112,108,111,86,128,74,152,102,151
006349.jpg,70,111,107,111,94,135,76,153,101,152
006364.jpg,68,111,109,112,81,139,64,150,113,151
006402.jpg,70,112,108,110,96,138,70,153,105,152
006415.jpg,71,110,106,110,77,137,72,153,105,154
006436.jpg,70,111,108,111,89,135,70,153,106,152
006445.jpg,73,112,106,108,101,137,73,156,100,153
006458.jpg,69,112,108,111,89,135,69,151,108,152
006489.jpg,70,111,107,111,88,137,66,153,110,152
006499.jpg,69,111,108,111,89,135,73,152,104,152
006515.jpg,68,114,111,111,99,138,60,152,114,148
006520.jpg,71,111,106,110,85,132,74,153,103,153
006522.jpg,68,112,109,112,89,133,72,152,105,151
006547.jpg,70,113,108,109,79,122,71,154,102,150
006554.jpg,70,110,106,111,81,138,75,152,103,154
006566.jpg,68,112,109,112,81,137,67,151,110,151
006583.jpg,71,111,106,110,97,135,75,153,101,154
006591.jpg,70,111,107,111,89,134,71,153,105,152
006609.jpg,69,112,109,111,86,132,69,151,107,152
006620.jpg,69,111,108,111,83,133,73,151,103,153
006677.jpg,70,112,108,111,81,134,72,153,104,152
006742.jpg,69,110,107,112,85,139,71,152,108,152
006772.jpg,70,111,107,111,86,141,73,153,104,153
006807.jpg,70,111,107,111,98,135,73,152,103,154
006823.jpg,67,112,110,112,86,135,66,150,111,150
006901.jpg,70,112,108,110,85,129,72,153,104,152
006931.jpg,70,111,107,110,88,136,72,154,104,152
006965.jpg,69,112,108,111,93,131,69,152,107,152
006967.jpg,69,112,108,111,89,136,70,150,107,153
006985.jpg,69,111,108,112,93,139,70,152,107,151
007007.jpg,71,111,106,110,88,136,73,153,104,154
007016.jpg,69,111,108,112,85,138,71,153,106,151
007053.jpg,71,113,108,109,96,139,70,154,103,152
007061.jpg,70,111,107,111,94,134,72,153,106,152
007085.jpg,70,111,107,111,95,128,73,153,104,153
007104.jpg,68,111,109,112,88,138,73,151,104,151
007114.jpg,68,111,108,112,88,135,67,152,110,151
007128.jpg,69,111,108,111,80,135,72,151,105,153
007131.jpg,68,112,109,112,89,138,69,151,108,151
007154.jpg,69,112,108,111,73,133,66,150,110,153
007191.jpg,70,112,107,110,95,134,73,152,103,153
007202.jpg,68,111,108,112,78,141,69,152,109,151
007238.jpg,72,110,105,110,79,132,73,153,105,156
007241.jpg,67,112,110,112,91,137,67,150,110,151
007243.jpg,70,111,107,111,89,134,72,153,105,153
007258.jpg,67,111,109,113,87,138,66,149,112,152
007280.jpg,72,111,106,109,81,127,73,155,102,153
007289.jpg,68,112,109,111,93,137,67,152,109,149
007323.jpg,68,111,109,112,85,136,66,151,112,151
007330.jpg,73,109,103,110,72,133,76,156,102,156
007335.jpg,69,111,108,112,84,132,70,151,107,153
007341.jpg,67,112,110,112,86,140,67,150,110,151
007344.jpg,71,111,106,111,89,139,71,153,106,153
007345.jpg,70,111,107,111,81,138,73,153,103,152
007348.jpg,72,109,104,111,97,131,74,157,105,153
007358.jpg,69,111,108,111,89,139,72,152,105,152
007386.jpg,72,109,104,110,102,128,77,155,101,156
007392.jpg,70,110,106,111,94,133,75,153,102,153
007399.jpg,69,110,107,112,85,137,71,151,108,153
007414.jpg,69,114,110,110,91,136,70,153,103,149
007421.jpg,71,110,106,111,88,139,73,154,104,153
007429.jpg,72,109,104,110,102,134,72,156,106,154
007447.jpg,67,112,109,113,86,140,67,149,110,151
007449.jpg,68,112,109,112,89,137,66,151,111,151
007476.jpg,69,112,108,111,88,138,67,150,110,153
007513.jpg,69,111,108,111,84,136,73,152,104,151
007528.jpg,69,111,108,112,89,137,73,152,104,152
007539.jpg,71,110,106,110,83,135,76,154,101,154
007556.jpg,69,112,108,111,87,130,69,152,108,151
007569.jpg,69,111,108,112,94,138,70,152,108,151
007572.jpg,70,110,106,111,93,134,74,153,103,153
007575.jpg,70,114,109,109,105,140,65,154,108,150
007649.jpg,68,112,109,111,88,137,67,151,109,152
007659.jpg,69,111,108,111,89,132,74,152,103,152
007662.jpg,72,114,108,107,106,131,67,155,104,150
007680.jpg,71,112,107,110,86,133,74,152,101,153
007687.jpg,69,111,108,112,78,139,73,151,105,152
007704.jpg,69,111,108,111,82,137,71,151,106,153
007708.jpg,69,111,108,111,88,136,73,152,104,152
007709.jpg,68,110,108,113,83,141,68,151,111,152
007744.jpg,70,112,107,110,93,138,75,153,101,152
007755.jpg,69,111,108,112,88,135,75,152,103,152
007760.jpg,70,111,107,111,95,137,74,152,104,153
007765.jpg,68,112,109,112,87,135,71,150,106,151
007768.jpg,69,112,109,111,88,139,67,150,109,153
007775.jpg,70,111,107,110,85,138,69,153,107,153
007812.jpg,70,111,107,111,82,137,70,152,107,153
007830.jpg,69,112,108,111,91,138,72,152,104,152
007863.jpg,71,111,106,111,87,134,75,154,102,153
007879.jpg,69,111,108,111,88,137,69,152,108,152
007889.jpg,71,110,105,111,80,141,74,153,104,154
007905.jpg,70,111,107,111,96,140,73,154,103,152
007917.jpg,72,109,105,111,95,130,76,155,102,154
007925.jpg,69,111,108,111,85,137,73,153,104,152
007927.jpg,78,112,103,105,112,135,76,160,94,156
007929.jpg,71,107,104,113,78,132,79,155,103,155
007933.jpg,69,111,107,112,92,133,75,153,103,151
007948.jpg,70,112,107,110,96,133,72,153,103,152
007963.jpg,70,111,107,110,87,136,75,152,101,154
007971.jpg,64,110,110,116,98,118,77,146,106,151
007977.jpg,69,111,108,112,78,135,71,151,106,152
007981.jpg,69,110,107,112,81,140,69,152,109,152
007985.jpg,67,112,110,112,85,143,68,150,109,151
008051.jpg,70,112,108,111,86,132,74,152,102,152
008058.jpg,70,111,107,110,92,133,68,155,108,151
008065.jpg,70,111,107,111,88,130,73,153,105,153
008102.jpg,68,111,108,112,83,135,68,151,110,151
008124.jpg,70,112,108,110,87,126,70,152,106,152
008137.jpg,69,112,108,111,94,138,71,153,105,151
008142.jpg,69,112,108,111,82,130,70,153,106,150
008143.jpg,69,111,108,111,90,137,75,152,103,153
008153.jpg,69,111,108,112,87,135,73,151,105,153
008176.jpg,70,113,108,110,77,132,67,152,107,152
008202.jpg,71,108,105,112,74,140,78,152,103,156
008207.jpg,69,112,108,111,86,139,72,151,105,152
008214.jpg,69,111,108,112,84,138,70,152,107,152
008255.jpg,68,112,109,112,86,140,69,150,108,152
008258.jpg,67,111,109,113,85,136,67,149,111,152
008271.jpg,70,111,108,111,86,132,72,153,104,152
008349.jpg,72,111,106,109,78,134,76,154,99,154
008355.jpg,70,112,108,110,93,134,71,151,104,153
008367.jpg,69,112,108,111,86,137,73,151,103,152
008373.jpg,69,111,107,111,90,138,71,152,106,153
008383.jpg,69,113,109,111,86,133,71,151,104,152
008403.jpg,68,112,109,112,93,138,65,152,112,150
008458.jpg,73,111,106,109,77,132,74,156,100,154
008550.jpg,71,110,106,111,81,136,73,152,105,155
008557.jpg,69,112,109,111,93,141,65,152,110,151
008566.jpg,70,111,107,111,87,133,71,152,105,153
008590.jpg,70,111,107,111,86,138,73,152,104,153
008611.jpg,71,108,104,112,72,141,73,152,107,157
008649.jpg,72,110,105,110,92,128,75,155,102,154
008662.jpg,68,112,109,112,90,141,69,151,108,151
008697.jpg,72,111,106,110,76,134,73,155,103,153
008699.jpg,66,113,111,112,84,133,71,149,106,150
008706.jpg,69,111,108,112,87,142,70,151,108,153
008709.jpg,69,112,108,111,92,138,68,151,108,152
008726.jpg,69,111,108,111,86,133,69,153,107,151
008762.jpg,68,113,110,111,91,140,69,151,106,150
008824.jpg,66,111,110,114,77,139,69,149,110,151
008929.jpg,70,110,107,112,97,136,73,153,104,152
009029.jpg,69,111,108,111,89,138,74,152,103,153
009067.jpg,69,109,106,113,81,139,67,151,113,155
009073.jpg,69,111,108,111,89,134,76,151,101,152
009093.jpg,69,111,108,111,88,138,69,152,108,151
009124.jpg,70,111,107,111,86,135,73,153,104,152
009162.jpg,69,112,109,110,96,134,72,152,103,152
009258.jpg,71,110,106,111,87,134,72,152,106,156
009275.jpg,68,111,108,113,90,140,68,151,111,151
009322.jpg,68,110,108,113,86,135,74,153,105,151
009332.jpg,70,112,107,110,87,132,73,153,103,152
009342.jpg,69,112,108,110,94,138,70,153,106,151
009355.jpg,71,114,109,109,79,123,69,153,103,151
009383.jpg,69,111,107,111,85,138,72,153,105,152
009412.jpg,69,111,108,111,88,130,76,152,101,152
009449.jpg,70,111,107,111,79,130,73,153,104,153
009467.jpg,68,111,109,112,85,135,68,151,110,151
009488.jpg,70,112,108,110,84,130,73,153,102,152
009492.jpg,70,111,107,110,88,129,73,153,103,153
009506.jpg,69,112,109,111,87,135,71,152,104,151
009511.jpg,67,113,110,112,87,141,67,150,109,150
009523.jpg,68,111,109,112,93,138,69,151,109,151
009530.jpg,68,111,109,112,88,137,71,150,107,152
009558.jpg,70,112,107,110,88,135,74,152,102,153
009695.jpg,72,112,107,109,104,135,72,157,102,151
009696.jpg,69,111,108,111,88,142,69,152,108,151
009701.jpg,70,111,107,111,84,130,71,153,106,153
009772.jpg,69,111,108,111,89,139,75,151,102,152
009803.jpg,70,114,109,109,102,138,67,152,106,151
009826.jpg,70,112,108,110,105,138,70,154,104,151
009833.jpg,66,113,111,112,86,142,63,148,113,150
009867.jpg,69,111,108,111,90,131,74,152,103,152
009879.jpg,71,111,107,110,79,130,72,154,104,153
009880.jpg,69,112,108,111,90,136,72,151,105,152
009895.jpg,71,111,106,110,92,134,74,154,102,153
009902.jpg,67,112,109,113,83,141,71,148,107,153
009978.jpg,70,111,107,110,87,134,71,153,105,152
009979.jpg,69,112,109,111,88,136,73,151,104,151
010012.jpg,68,111,108,113,77,139,70,151,108,152
010027.jpg,70,111,107,111,86,137,74,153,102,153
010079.jpg,70,111,107,111,86,139,73,152,105,153
010098.jpg,70,111,107,110,91,136,69,151,106,154
010195.jpg,69,111,108,112,92,136,72,152,105,152
010201.jpg,68,112,109,112,85,131,68,151,108,150
010203.jpg,69,115,110,109,83,113,73,152,99,149
010218.jpg,69,111,108,112,83,132,70,151,108,153
010237.jpg,72,111,106,110,84,128,75,154,101,154
010256.jpg,69,110,107,112,89,139,73,153,105,152
010275.jpg,67,111,108,113,77,140,68,148,111,153
010287.jpg,67,111,109,113,84,140,70,149,109,152
010308.jpg,72,110,105,110,88,131,72,154,105,155
010324.jpg,70,112,108,110,87,140,72,151,103,153
010358.jpg,68,112,109,112,86,139,72,151,105,151
010377.jpg,70,110,107,111,98,128,73,152,104,154
010378.jpg,66,112,111,113,88,140,68,149,110,149
010381.jpg,70,111,107,111,97,136,72,153,105,153
010390.jpg,70,112,108,110,82,130,72,152,103,152
010401.jpg,71,111,107,110,93,137,73,155,104,152
010418.jpg,71,111,106,110,87,139,73,154,103,153
010454.jpg,76,110,102,107,72,131,76,159,98,157
010488.jpg,69,111,108,111,84,134,72,151,106,153
010497.jpg,67,111,108,113,86,141,66,151,113,151
010532.jpg,68,110,108,113,84,139,68,149,111,154
010537.jpg,69,111,108,111,90,135,71,151,105,153
010566.jpg,71,110,106,111,82,137,71,153,106,154
010577.jpg,69,111,108,112,95,133,74,152,103,152
010578.jpg,70,111,107,111,89,134,73,153,104,152
010596.jpg,69,111,108,112,86,136,70,151,107,152
010648.jpg,68,112,109,112,84,137,68,151,109,151
010664.jpg,69,111,108,112,85,136,68,151,109,152
010671.jpg,69,112,108,111,94,132,74,152,103,151
010685.jpg,72,110,106,110,74,135,70,153,107,155
010692.jpg,69,111,108,111,92,134,69,151,107,152
010700.jpg,70,111,107,110,90,134,70,152,106,154
010753.jpg,68,111,108,112,87,136,71,151,106,152
010859.jpg,69,111,108,111,82,142,70,151,107,154
010861.jpg,68,111,108,112,90,135,73,151,105,152
010922.jpg,71,110,106,111,78,137,76,153,102,154
010924.jpg,70,111,107,111,88,143,74,152,102,153
010952.jpg,70,111,107,111,90,133,72,152,104,153
010958.jpg,68,111,108,112,79,139,66,150,112,152
010988.jpg,68,111,109,112,87,138,70,150,108,151
011028.jpg,68,113,110,111,84,132,70,150,105,151
011052.jpg,68,111,108,112,88,139,71,152,107,151
011110.jpg,66,111,109,114,86,140,69,148,111,151
